id,ta,kdmk,klpk,klpk_2,kdds,kdds2,jmax,jsisa,id_hari1,id_hari2,id_hari3,id_sesi1,id_sesi2,id_sesi3,id_ruang1,id_ruang2,id_ruang3,jns_jam,open_class
277095,20232,F14.27408,F14.E201,,1210,0,40,27,4,0,0,17,0,0,828,0,0,1,1
277096,20232,F14.27408,F14.E202,,1210,0,40,22,4,0,0,23,0,0,828,0,0,1,1
277093,20232,U201701,F14.E202,,2431,0,40,23,5,0,0,14,0,0,754,0,0,1,1
277094,20232,U201701,F14.E203,,2097,0,40,12,5,0,0,30,0,0,750,0,0,2,1
277091,20232,F14.27207,F14.E203,,1091,0,40,12,4,0,0,30,0,0,751,0,0,2,1
277092,20232,U201701,F14.E201,,2191,0,40,26,3,0,0,14,0,0,750,0,0,1,1
277088,20232,F14.27206,F14.E203,,2096,0,40,12,4,0,0,27,0,0,758,0,0,2,1
277089,20232,F14.27207,F14.E201,,2097,0,40,26,1,0,0,14,0,0,756,0,0,1,1
277090,20232,F14.27207,F14.E202,,2097,0,40,22,3,0,0,17,0,0,754,0,0,1,1
277087,20232,F14.27206,F14.E202,,2096,293,40,23,1,0,0,23,0,0,752,0,0,1,1
277086,20232,F14.27206,F14.E201,,2097,0,40,26,4,0,0,14,0,0,752,0,0,1,1
277085,20232,F14.27205,F14.E203,,2097,0,40,12,1,0,0,30,0,0,750,0,0,2,1
277082,20232,F14.27204,F14.E203,,2096,0,40,12,1,0,0,27,0,0,750,0,0,2,1
277083,20232,F14.27205,F14.E201,,2097,1524,40,26,2,0,0,14,0,0,752,0,0,1,1
277084,20232,F14.27205,F14.E202,,2097,0,40,22,5,0,0,17,0,0,750,0,0,1,1
277079,20232,F14.27203,F14.E203,,2431,0,40,12,2,0,0,30,0,0,760,0,0,2,1
277080,20232,F14.27204,F14.E201,,2096,0,40,27,5,0,0,17,0,0,757,0,0,1,1
277081,20232,F14.27204,F14.E202,,2096,0,40,22,2,0,0,17,0,0,751,0,0,1,1
277076,20232,F14.27202,F14.E203,,1104,0,40,12,3,0,0,31,0,0,828,0,0,2,1
277077,20232,F14.27203,F14.E201,,1104,0,40,27,2,0,0,23,0,0,760,0,0,1,1
277078,20232,F14.27203,F14.E202,,1104,0,40,22,1,0,0,17,0,0,760,0,0,1,1
277075,20232,F14.27202,F14.E202,,1104,0,40,22,4,0,0,12,0,0,828,0,0,1,1
277074,20232,B11.7710,B11.8.1K,,2430,35,40,20,2,0,0,18,0,0,756,0,0,3,1
277073,20232,B11.7801,B11.8.1K,,2093,0,40,20,6,0,0,75,0,0,751,0,0,3,1
277070,20232,F14.27201,F14.E203,,1694,0,40,12,3,0,0,27,0,0,828,0,0,2,1
277071,20232,A14.27705,A14.7801,,0,0,35,0,3,0,0,7,0,0,599,0,0,1,0
277072,20232,F14.27202,F14.E201,,1104,0,40,27,5,0,0,12,0,0,828,0,0,1,1
277067,20232,A14.27408,A14.7211,,0,0,35,0,1,0,0,30,0,0,470,0,0,3,0
277068,20232,F14.27201,F14.E201,,1694,0,40,26,1,0,0,17,0,0,828,0,0,1,1
277069,20232,F14.27201,F14.E202,,1694,0,40,21,2,0,0,14,0,0,828,0,0,1,1
277064,20232,A14.27408,A14.7208,,0,0,35,0,1,0,0,27,0,0,473,0,0,3,0
277065,20232,A14.27408,A14.7209,,0,0,35,0,5,0,0,17,0,0,520,0,0,1,0
277066,20232,A14.27408,A14.7210,,0,0,35,0,3,0,0,27,0,0,521,0,0,3,0
277062,20232,A14.27408,A14.7206,,0,0,35,0,1,0,0,7,0,0,476,0,0,1,0
277063,20232,A14.27408,A14.7207,,2238,0,40,27,4,0,0,23,0,0,519,0,0,1,1
277059,20232,A14.27408,A14.7203,,1478,0,40,38,3,0,0,27,0,0,520,0,0,3,1
277060,20232,A14.27408,A14.7204,,2238,0,40,37,4,0,0,14,0,0,519,0,0,1,1
277061,20232,A14.27408,A14.7205,,2238,0,40,29,5,0,0,7,0,0,520,0,0,1,1
277054,20232,F13.7701,F13.601,,2100,0,40,21,6,0,0,2,0,0,750,0,0,3,1
277057,20232,A14.27408,A14.7201,,1478,0,40,35,2,0,0,1,0,0,936,0,0,1,1
277058,20232,A14.27408,A14.7202,,1478,0,40,35,3,0,0,1,0,0,519,0,0,1,1
277053,20232,F13.7503,F13.601,,2430,2078,40,1,1,0,0,12,0,0,751,0,0,3,1
277050,20232,F13.7601,F13.601,,2102,0,40,22,3,0,0,12,0,0,751,0,0,3,1
277051,20232,F13.7602,F13.601,,2100,0,40,23,2,0,0,18,0,0,750,0,0,3,1
277052,20232,F13.7603,F13.601,,2102,0,45,42,4,0,0,12,0,0,751,0,0,3,1
277048,20232,N2017051,F13.601,,2100,0,40,2,1,0,0,1,0,0,751,0,0,3,1
277049,20232,N2017053,F13.601,,1655,0,40,3,5,0,0,14,0,0,599,0,0,3,1
277045,20232,F13.7407,F13.401,,2100,0,40,21,2,0,0,1,0,0,760,0,0,3,1
277046,20232,N201702,F13.601,,763,0,40,5,4,0,0,23,0,0,599,0,0,3,1
277047,20232,N201706,F13.601,,2429,0,40,24,3,0,0,1,0,0,755,0,0,3,1
277042,20232,F13.7404,F13.401,,407,0,40,20,5,0,0,2,0,0,599,0,0,3,1
277043,20232,F13.7405,F13.401,,2429,1632,40,20,4,0,0,2,0,0,760,0,0,3,1
277044,20232,F13.7406,F13.401,,2093,0,40,21,1,0,0,14,0,0,750,0,0,3,1
277039,20232,F13.7401,F13.401,,2096,0,40,21,2,0,0,12,0,0,751,0,0,3,1
277040,20232,F13.7402,F13.401,,2100,0,40,22,4,0,0,18,0,0,750,0,0,3,1
277041,20232,F13.7403,F13.401,,2430,407,30,20,3,0,0,12,0,0,760,0,0,3,1
277036,20232,F13.7206,F13.201,,2093,0,40,31,2,0,0,43,0,0,750,0,0,3,1
277037,20232,F13.7207,F13.201,,2102,0,40,31,3,0,0,1,0,0,760,0,0,3,1
277038,20232,U201702,F13.201,,2430,2059,40,31,4,0,0,1,0,0,751,0,0,3,1
277035,20232,F13.7205,F13.201,,407,0,40,31,3,0,0,18,0,0,599,0,0,3,1
277033,20232,F13.7203,F13.201,,2102,0,40,30,2,0,0,7,0,0,750,0,0,3,1
277034,20232,F13.7204,F13.201,,2429,16,40,31,4,0,0,12,0,0,750,0,0,3,1
277030,20232,U2017056,B12016,,0,0,30,0,5,0,0,20,0,0,45,0,0,3,1
277031,20232,F13.7201,F13.201,,2096,0,40,30,1,0,0,7,0,0,750,0,0,3,1
277032,20232,F13.7202,F13.201,,8,0,40,31,5,0,0,18,0,0,599,0,0,3,1
277028,20232,U2017054,B12015,,0,0,30,0,5,0,0,17,0,0,44,0,0,3,1
277029,20232,U2017055,B12014,,0,0,30,0,5,0,0,17,0,0,110,0,0,3,1
277025,20232,U2017051,B12051,,0,0,30,0,4,0,0,30,0,0,13,0,0,3,1
277026,20232,U2017052,B12012,,0,0,30,0,5,0,0,17,0,0,104,0,0,3,1
277027,20232,U2017053,B12013,,0,0,30,0,5,0,0,17,0,0,114,0,0,3,1
277022,20232,U2017051,B12021,,0,0,30,0,5,0,0,1,0,0,7,0,0,3,1
277023,20232,U2017051,B12031,,0,0,30,0,4,0,0,46,0,0,13,0,0,3,1
277024,20232,U2017051,B12041,,0,0,30,0,4,0,0,27,0,0,13,0,0,3,1
277019,20232,U201703,B12.6.4,,1165,0,30,16,2,0,0,17,0,0,114,0,0,3,1
277020,20232,U201703,B12.6.5,,1893,0,30,14,5,0,0,20,0,0,46,0,0,3,1
277021,20232,U2017051,B12011,,0,0,30,0,5,0,0,14,0,0,9,0,0,3,1
277016,20232,U201703,B12.6.1,,0,0,30,0,3,0,0,46,0,0,7,0,0,3,0
277017,20232,U201703,B12.6.2,,134,0,30,25,3,0,0,27,0,0,114,0,0,3,1
277018,20232,U201703,B12.6.3,,1326,0,30,21,4,0,0,1,0,0,104,0,0,3,1
277015,20232,U201702,B11.2.9,,2059,0,33,31,2,0,0,27,0,0,267,0,0,3,1
277012,20232,U201702,B11.2.6,,2129,0,35,32,1,0,0,10,0,0,48,0,0,3,1
277013,20232,U201702,B11.2.7,,1326,0,33,29,1,0,0,7,0,0,518,0,0,3,1
277014,20232,U201702,B11.2.8,,99,0,33,31,2,0,0,46,0,0,500,0,0,3,1
277009,20232,U201702,B11.2.3,,34,0,35,35,5,0,0,14,0,0,12,0,0,3,1
277010,20232,U201702,B11.2.4,,1516,0,33,30,5,0,0,30,0,0,500,0,0,3,1
277011,20232,U201702,B11.2.5,,34,0,33,28,3,0,0,46,0,0,518,0,0,3,1
277008,20232,U201702,B11.2.2,,1929,0,33,29,5,0,0,1,0,0,8,0,0,3,1
277005,20232,U201702,B11.2.13,,1760,0,34,34,4,0,0,1,0,0,108,0,0,3,1
277006,20232,U201702,B11.2.14,,2078,0,33,28,3,0,0,30,0,0,500,0,0,3,1
277007,20232,U201702,B11.2.15,,985,0,33,30,2,0,0,14,0,0,500,0,0,3,1
277004,20232,U201702,B11.2.12,,1480,0,33,32,4,0,0,17,0,0,13,0,0,3,1
277003,20232,U201702,B11.2.11,,1480,0,37,36,3,0,0,10,0,0,500,0,0,3,1
276999,20232,N2017055,B11014,,0,0,30,0,5,0,0,17,0,0,110,0,0,3,0
277000,20232,N2017056,B11016,,0,0,30,0,5,0,0,17,0,0,45,0,0,3,0
277001,20232,U201702,B11.2.1,,985,0,33,30,1,0,0,14,0,0,14,0,0,3,1
277002,20232,U201702,B11.2.10,,1929,0,36,30,4,0,0,17,0,0,105,0,0,3,1
276996,20232,N2017052,B11012,,0,0,30,0,5,0,0,17,0,0,104,0,0,3,0
276997,20232,N2017053,B11013,,0,0,30,0,5,0,0,17,0,0,114,0,0,3,0
276998,20232,N2017054,B11015,,0,0,30,0,5,0,0,17,0,0,44,0,0,3,0
276992,20232,N2017051,B11121,,0,0,30,0,1,0,0,1,0,0,500,0,0,3,0
276993,20232,N2017051,B11131,,0,0,30,0,4,0,0,30,0,0,12,0,0,3,0
276994,20232,N2017051,B11141,,1131,0,40,19,5,0,0,7,0,0,104,0,0,3,1
276995,20232,N2017051,B11151,,1723,0,40,28,1,0,0,7,0,0,500,0,0,3,1
276989,20232,N2017051,B11091,,0,0,30,0,5,0,0,46,0,0,114,0,0,3,0
276990,20232,N2017051,B11101,,0,0,30,0,5,0,0,30,0,0,114,0,0,3,1
276991,20232,N2017051,B11111,,1131,0,30,21,5,0,0,1,0,0,104,0,0,3,1
276986,20232,N2017051,B11061,,1131,0,40,39,3,0,0,46,0,0,13,0,0,3,1
276987,20232,N2017051,B11071,,1706,0,30,20,4,0,0,1,0,0,105,0,0,3,1
276988,20232,N2017051,B11081,,1706,0,40,40,4,0,0,14,0,0,105,0,0,3,1
276985,20232,N2017051,B11051,,1706,0,40,40,3,0,0,17,0,0,13,0,0,3,1
276984,20232,N2017051,B11041,,1131,0,30,25,1,0,0,1,0,0,105,0,0,3,1
276981,20232,N2017051,B11011,,1723,0,40,40,2,0,0,27,0,0,114,0,0,3,1
276982,20232,N2017051,B11021,,1723,0,40,39,2,0,0,30,0,0,114,0,0,3,1
276983,20232,N2017051,B11031,,1131,0,40,40,3,0,0,17,0,0,9,0,0,3,1
276980,20232,N2017051,B11.6.1K,,0,0,30,0,5,0,0,30,0,0,14,0,0,3,0
276979,20232,N201702,B12.2.4,,712,0,33,32,5,0,0,14,0,0,38,0,0,3,1
276977,20232,N201702,B12.2.2,,111,0,33,30,4,0,0,27,0,0,47,0,0,3,1
276978,20232,N201702,B12.2.3,,51,0,33,29,5,0,0,30,0,0,110,0,0,3,1
276974,20232,N201702,B11.6.8,,142,0,40,23,3,0,0,30,0,0,48,0,0,3,1
276975,20232,N201702,B11.6.9,,1191,0,40,17,3,0,0,7,0,0,44,0,0,3,1
276976,20232,N201702,B12.2.1,,1912,0,33,29,3,0,0,1,0,0,44,0,0,3,1
276971,20232,N201702,B11.6.5,,1863,0,40,26,2,0,0,46,0,0,8,0,0,3,1
276972,20232,N201702,B11.6.6,,1912,0,40,24,4,0,0,14,0,0,14,0,0,3,1
276973,20232,N201702,B11.6.7,,1912,0,40,17,5,0,0,7,0,0,7,0,0,3,1
276968,20232,N201702,B11.6.2,,1863,0,40,25,1,0,0,30,0,0,500,0,0,3,1
276969,20232,N201702,B11.6.3,,894,0,40,25,3,0,0,27,0,0,14,0,0,3,1
276970,20232,N201702,B11.6.4,,1191,0,40,22,5,0,0,1,0,0,44,0,0,3,1
276967,20232,N201702,B11.6.1K,,0,0,30,0,3,0,0,30,0,0,13,0,0,3,0
276965,20232,N201702,B11.6.14,,763,0,40,9,5,0,0,14,0,0,7,0,0,3,1
276966,20232,N201702,B11.6.15,,51,0,40,31,2,0,0,27,0,0,14,0,0,3,1
276962,20232,N201702,B11.6.11,,1912,0,40,30,1,0,0,17,0,0,110,0,0,3,1
276963,20232,N201702,B11.6.12,,712,0,40,24,5,0,0,7,0,0,38,0,0,3,1
276964,20232,N201702,B11.6.13,,2182,0,40,33,3,0,0,27,0,0,44,0,0,3,1
276959,20232,B12.6801,B12.8.1,,2051,0,200,137,0,0,0,0,0,0,0,0,0,3,1
276960,20232,N201702,B11.6.1,,1191,0,40,35,1,0,0,17,0,0,114,0,0,3,1
276961,20232,N201702,B11.6.10,,51,0,40,26,4,0,0,30,0,0,48,0,0,3,1
276956,20232,B12.6607,B12.6.4,,0,0,30,0,1,0,0,1,0,0,268,0,0,3,0
276957,20232,B12.6607,B12.6.5,,0,0,30,0,3,0,0,17,0,0,38,0,0,3,0
276958,20232,B12.6608,B12.6.1,,0,0,100,0,0,0,0,0,0,0,0,0,0,3,1
