"kur_id","kdmk","nmmk","nmen","tp","sks","sks_t","sks_p","smt","jns_smt","aktif","kur_nama","kelompok_makul","kur_aktif","jenis_matkul"
137,D11.8604AK,MANAJEMEN SUMBER DAYA MANUSIA KESEHATAN,Health Human Resource Management,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8604EP,PENGENDALIAN VEKTOR,Vector Control,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8604K3,PENGEMBANGAN MEDIA KESELAMATAN DAN KESEHATAN KERJA,Occupational Safety and Health  Media Development,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8604MIK,SURVEI CEPAT BIDANG KESEHATAN,Rapid Survey for Health Sector,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8604PR,INTERVENSI KEBUTUHAN KOMUNITAS,Intervention for Community Needs,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8605AK,MANAJEMEN KEUANGAN KESEHATAN,Health Financial Management,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8605EP,TEKNIK ENTOMOLOGI,Entomological Techniques,P,2,0,2,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8605K3,INVESTIGASI PENYAKIT AKIBAT KERJA DAN KECELAKAAN AKIBAT KERJA,Investigation of Occupational Diseases and Occupational Accidents,T,3,3,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8605MIK,EVALUASI SISTEM INFORMASI KESEHATAN,Health Information Systems Evaluation,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8605PR,EDUKASI INDIVIDU,Individual Education,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8606AK,MANAJEMEN LOGISTIK KESEHATAN,Health Logistics Management,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8606EP,MANAJEMEN DAN ANALISIS DATA EPIDEMIOLOGI,Management and Epidemiological Data Analysis,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8606PR,PENGUKURAN PERILAKU DAN INDIKATOR KESEHATAN,Behavioral Measurement and Health Indicators,T,2,2,0,6,2,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8701,SEMINAR PROPOSAL,Proposal Seminar,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8701AK,MANAJEMEN MUTU LAYANAN KESEHATAN,Health Service Quality Management,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8701EP,PRAKTIK SURVEILANS EPIDEMIOLOGI,Epidemiological Surveillance Practice,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8701K3,PERUNDANG-UNDANGAN KESELAMATAN DAN KESEHATAN KERJA,Occupational Safety and Health Legislation,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8701MIK,ANALISIS DAN TEKNIK PENYAJIAN DATA KESEHATAN,Analysis and Techniques for Presenting Health Data,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8701PR,KOMUNIKASI PUBLIK,Public Communication,P,3,0,3,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8702,PENGALAMAN BELAJAR LAPANGAN 2,Field Learning Experience 2,P,3,0,3,7,1,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8702AK,SISTEM PENGAMBILAN KEPUTUSAN,Decision Support System,P,3,0,3,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8702EP,PRAKTIK INVESTIGASI WABAH,Outbreak Investigation Practices,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8702K3,MANAJEMEN TANGGAP DARURAT DI TEMPAT KERJA,Emergency Response Management in the Workplace,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8702MIK,MANAJEMEN PROYEK SISTEM INFORMASI KESEHATAN,Health Information Systems Project Management,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8702PR,TEKNOLOGI MEDIA PROMOSI KESEHATAN,Technology of Health Promotion Media,P,3,0,3,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8703AK,MANAJEMEN SISTEM INFORMASI LAYANAN KESEHATAN,Information Systems Management of Health Services,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8703EP,APLIKASI SKRINING ,Screening Application ,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8703K3,TOKSIKOLOGI INDUSTRI,Industrial Toxicology,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8703MIK,KEAMANAN DATA DAN INFORMASI KESEHATAN,Security of Data and Health Information,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8703PR,PENELITIAN BIDANG PROMOSI KESEHATAN,Health Promotion Research,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8704EP,SURVEI CEPAT EPIDEMIOLOGI,Epidemiological Rapid Survey,P,2,0,2,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8704K3,PROMOSI KESELAMATAN DAN KESEHATAN KERJA,Occupational Safety and Health Promotion,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8704MIK,SISTEM PENDUKUNG KEPUTUSAN DI BIDANG KESEHATAN,Decision Support Systems in the Health Sector,T,2,2,0,7,1,1,D11.KUR.2024/2025,MKK,1,pilihan
137,D11.8801,MAGANG,Apprenticeship,P,3,0,3,8,2,1,D11.KUR.2024/2025,MKK,1,wajib
137,D11.8802,SKRIPSI,Thesis,P,4,0,4,8,2,1,D11.KUR.2024/2025,MKK,1,wajib
84,D12.1101,PENDIDIKAN PANCASILA,Pancasila Education,T,2,2,0,1,1,0,D12.KUR.2016/2017,MPK,1,wajib
84,D12.1102,PENDIDIKAN KEWARGANEGARAAN,Civic Education,T,2,2,0,2,2,0,D12.KUR.2016/2017,MPK,1,wajib
84,D12.1103,PENDIDIKAN AGAMA,Religius Education,T,2,2,0,2,2,1,D12.KUR.2016/2017,MPK,1,wajib
