"id","ta","nim_dinus","spp_bayar","spp_bayar_date","spp_host","spp_status","spp_dispensasi","spp_bank","spp_transaksi"
298451,20232,"307ad82d218ebb11fdf9d9fff60a2e40",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102425"
298452,20232,af6d843e306fbcd17379580180561f0e,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102421"
298453,20232,"107a9be8c59807acf37cd16084f1ff46",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102420"
298454,20232,"82b26d0f8c373cfc7379cab5f4829eab",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102414"
298455,20232,"3d4f5e4c1e94050b54c7b0301d0f0a95",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102412"
298456,20232,"2f20bbc9586894f011a7d526391d00ac",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102411"
298457,20232,"04a718f192d05ee9b46ffd71e140ab10",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102407"
298458,20232,"8494517823792c95bdf4422e1d6ff2c3",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102405"
298459,20232,"376fb577bc3794eed4a1eaf8956619fb",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312102475"
298460,20232,b0936787d2906fdaf3792cec1b1c4a53,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312202505"
298461,20232,"409739c3f06bfe929cd018eb1e8757cf",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312202500"
298462,20232,"95e258d824e645c49ea4c64d96a73bda",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312202481"
298463,20232,b7c2c8836787854fdcbb3788e1fe64a4,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312202524"
298464,20232,"043aa741f7575c2c06738baf3ba55c58",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6312302560"
