"id","ta","ijinkan","time","nim_dinus"
4579,20232,1,2024-03-05 09:32:48.000,"63df628f67d8ce88d391d1fcf6e0cebe"
4590,20232,1,2024-03-05 11:30:47.000,"03a0180cb5b0efc697fe23f52f17228b"
4575,20232,1,2024-03-04 15:57:19.000,"28a94a31312e1c9af19a5899bcb9fc60"
4645,20232,1,2024-03-06 14:10:02.000,f6ac312920ff3935947a84173c322bc2
4532,20232,1,2024-03-04 13:09:52.000,"6c80b395e98b71bacbc519e0173ec099"
4742,20232,1,2024-03-13 10:39:04.000,"21c650458ca33efb1f988492142659ba"
4764,20232,1,2024-03-13 15:04:59.000,ab20ba07eabdc41688f166d3529565af
4586,20232,1,2024-03-05 11:19:09.000,"8c678c747f3a3057ad177ae137e74a57"
4782,20232,1,2024-03-15 13:02:11.000,b42cfedb0d3ffe7442c917ff7c870956
4781,20232,1,2024-03-15 13:01:42.000,"2c4984c92dcb812abb7be74602fc8be0"
4752,20232,1,2024-03-13 13:22:28.000,"01d04119d67e7d2b9512ea49cd8324d2"
4639,20232,1,2024-03-06 13:46:40.000,"37d75a41adb75dafa33b81353a9d6630"
4512,20232,1,2024-02-29 16:28:53.000,"5fd9beced13d1531347c86c585e3989e"
4592,20232,1,2024-03-05 11:46:59.000,"1e5d978ebd3c8ef65eff763980794165"
4677,20232,1,2024-03-07 15:43:10.000,e35771212595f941105575fed7b7dbb3
4527,20232,1,2024-03-04 11:58:11.000,"7686d677f4380738f139002695fb43c3"
4835,20232,1,2024-03-22 13:43:18.000,"5f243598a2d343e3ced4f1f4c9c4ba9b"
4652,20232,1,2024-03-06 15:07:35.000,"4f514ea0773088179e107322b7be6533"
4771,20232,1,2024-03-14 13:25:03.000,"52572b60a753aab4dc581644277bdbb7"
4763,20232,1,2024-03-13 14:55:34.000,dee20e00e23678d0fe756a1ed2604645
4541,20232,1,2024-03-04 13:40:07.000,fd2fa7cdc339e4084dc6177689850b8a
4542,20232,1,2024-03-04 13:40:49.000,"4a2b54db384fcde3d09a9b52e27cd2c3"
4539,20232,1,2024-03-04 13:25:58.000,"3e79c619336fd283fa530037b9f09b48"
4828,20232,1,2024-03-21 13:34:52.000,"65197c46c4862905a666ecc84d64da79"
4533,20232,1,2024-03-04 13:10:22.000,c6aa92b2241011ae5a54b98fbc7e1c91
4617,20232,1,2024-03-07 09:58:41.000,"8e9130605229ca26c430720e420809fc"
4581,20232,1,2024-03-05 09:46:26.000,"33bc0b49488de6bd24d2a1bcde633df5"
4678,20232,1,2024-03-08 10:08:02.000,a6a43e875dc56c178d74550522409f61
4769,20232,1,2024-03-13 15:50:53.000,bdefb6bc28e8ba65078f16f11dc74dbf
4555,20232,1,2024-03-04 14:35:22.000,"7d04e5a50b2bb4ccc7d8422a9df7315e"
4780,20232,1,2024-03-15 11:00:06.000,f24f1b1fcf009cfbb1ec5d3cebc2f172
4799,20232,1,2024-03-18 14:40:55.000,c99c5e92c89e1d761223140c093ac929
4535,20232,1,2024-03-04 13:12:18.000,c0ed35d0013123c2cda4c30dfa56a20a
4758,20232,1,2024-03-14 14:40:48.000,"4749389b965e7b876b1e25f360c21a26"
4832,20232,1,2024-03-22 11:39:57.000,ca74bbaa98d3892717a517a8b75f2f37
4816,20232,1,2024-03-20 10:27:15.000,"7078c47415e470463c6282d2f524a6f4"
4789,20232,1,2024-03-15 13:53:51.000,e565e19590829278ee08fdc20a576a4e
4582,20232,1,2024-03-05 10:23:26.000,"6742d0e917f03406449117c53a0f547a"
